date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,3.4,-0.5,5.8,0,,258,13.9,41,1002.7,
2023-01-02,-0.8,-2.4,0.5,3.7,,184,11.4,25.9,1015.5,
2023-01-03,0.5,-0.4,3.4,7.2,,288,20,66.2,1006,
2023-01-04,-0.9,-3.3,0.2,0,,291,11.7,36.4,1015.7,
2023-01-05,-7.5,-11,-3.9,0,,55,21.5,43.9,1011.6,
2023-01-06,-11.3,-12.5,-8.6,0,,47,6.4,21.6,1026.5,
2023-01-07,-11.5,-12.5,-10.1,0,,115,13.8,31,1027.1,
2023-01-08,-9.6,-12.6,-6.4,0.3,,120,14.8,33.5,1020.2,
2023-01-09,-5.7,-7.4,-5,2.5,,122,19.9,39.6,1012.8,
2023-01-10,-3,-6.1,1.1,1.5,,147,16.7,38.9,1013.1,
2023-01-11,0.5,0,1.1,0.9,,174,20.6,46.8,1015.2,
2023-01-12,0.6,-0.3,2.2,5.2,,177,22.4,43.9,1007.6,
2023-01-13,3.3,0.7,5,7.5,,183,20.8,58.3,1002.6,
2023-01-14,4,3.4,4.8,2.2,,186,21.9,53.3,1005,
2023-01-15,2.3,1.1,3.9,10.9,,174,25.1,56.2,998.9,
2023-01-16,2.6,1.5,3.5,1.3,,187,24,58,996,
2023-01-17,0.6,0,1.5,2.7,,112,17.5,44.6,998,
2023-01-18,1.4,0.5,1.9,1.5,,114,13,31.3,998.3,
2023-01-19,0.8,-0.1,2.4,14.6,,253,14.9,52.9,1000,
2023-01-20,-0.1,-0.8,0.9,0,,358,7,19.1,1016.3,
2023-01-21,-3.2,-6.2,-0.9,0,,17,9.3,22.7,1032.4,
2023-01-22,-3.8,-6.3,-2.6,0,,43,10.9,24.8,1038.4,
2023-01-23,-4.6,-5.9,-2.6,0,,254,7.1,27,1040,
2023-01-24,-0.9,-2.7,0.3,0,,227,19.8,45.7,1033.5,
2023-01-25,1.2,-0.3,2.3,0.7,,218,20.4,42.8,1022.8,
2023-01-26,1.1,0.7,2,2,,239,16.9,40.3,1016.8,
2023-01-27,-1,-2.8,0.4,0,,357,8.7,25.6,1024.5,
