date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,-0.6,-1.3,1,,,,,,,
2021-01-02,0.2,-0.7,0.5,,10,,,,,
2021-01-03,-0.8,-1.9,0.5,,20,,,,,
2021-01-04,-1.9,-2.2,-0.7,,,,,,,
2021-01-05,-2.2,-2.6,-1.6,,,,,,,
2021-01-06,-2,-2.4,-1.6,,,,,,,
2021-01-07,-2.7,-3.2,-1.6,,,,,,,
2021-01-08,-4.1,-6.4,-2.6,,,,,,,
2021-01-09,-8.7,-12.4,-3.3,,,,,,,
2021-01-10,-5.9,-12.4,-3.4,,,,,,,
2021-01-11,-2.7,-5.8,-2.2,,,,,,,
2021-01-12,-1.7,-3.1,-0.6,,,,,,,
2021-01-13,-3.4,-7.2,-0.6,,,,,,,
2021-01-14,-9.7,-12.1,-1.8,,,,,,,
2021-01-15,-14.3,-16.9,-6.9,,109,,,,,
2021-01-16,-16.2,-20.6,-11.2,,119,,,,,
2021-01-17,-11.6,-20.6,-8.6,,119,,,,,
2021-01-18,-6.9,-10.6,-6.1,,,,,,,
2021-01-19,-7.7,-8.4,-6.1,,130,,,,,
2021-01-20,-8.3,-12.4,-6.7,,130,,,,,
2021-01-21,-5.2,-8.6,1.4,,,,,,,
2021-01-22,2.3,-5.7,4.4,,,,,,,
2021-01-23,1.3,-0.4,4.4,,,,,,,
2021-01-24,1.7,-0.4,3,,89,,,,,
2021-01-25,0.9,-1.1,2.6,,,,,,,
2021-01-26,0,-1.1,1.6,,89,,,,,
2021-01-27,0.4,-1.2,1.2,,,,,,,
2021-01-28,-1.9,-2.9,1,,,,,,,
2021-01-29,-2.1,-3.2,-0.9,,,,,,,
2021-01-30,-4.6,-5.7,-1,,201,,,,,
2021-01-31,-5.1,-6.1,-3.5,,211,,,,,
2021-02-01,-3.5,-5.8,-1.7,,,,,,,
2021-02-02,-4.6,-5.5,-1.7,,,,,,,
2021-02-03,-5.6,-7.3,-3.3,,,,,,,
2021-02-04,-9.9,-13.1,-4.7,,,,,,,
2021-02-05,-14.2,-19.1,-7.2,,,,,,,
2021-02-06,-15,-19.5,-9.6,,239,,,,,
2021-02-07,-12.4,-17.3,-9.7,,231,,,,,
2021-02-08,-10.2,-17,-6.1,,,,,,,
2021-02-09,-15.5,-17.6,-6.4,,,,,,,
2021-02-10,-17.1,-19.2,-11.1,,,,,,,
2021-02-11,,,,,,,,,,
2021-02-12,,,,,,,,,,
2021-02-13,-3.8,-9.9,-3.2,,,,,,,
2021-02-14,-5.2,-8.2,-1.6,,231,,,,,
2021-02-15,-8.7,-10.1,-1.9,,221,,,,,
2021-02-16,-4.9,-13.3,-1.2,,,,,,,
2021-02-17,-12.6,-20.5,-1.3,,,,,,,
2021-02-18,-16.4,-25.7,-9,,,,,,,
2021-02-19,-12.4,-15.1,-7.3,,,,,,,
2021-02-20,,,,,,,,,,
2021-02-21,1.6,1.4,2.3,,,,,,,
2021-02-22,-0.6,-6.3,2.5,,,,,,,
2021-02-23,-1.5,-6.3,2.5,,,,,,,
2021-02-24,2.7,-0.4,6.1,,,,,,,
2021-02-25,5.4,2.2,7.9,,,,,,,
2021-02-26,3.1,0.7,7.9,,,,,,,
2021-02-27,1.2,-0.8,4.5,,,,,,,
2021-02-28,3.2,-0.8,8.6,,,,,,,
2021-03-01,2.7,-0.5,9.1,,,,,,,
2021-03-02,2.9,-1.6,9,,,,,,,
2021-03-03,0.9,-1.9,7.5,,,,,,,
2021-03-04,-0.7,-3.7,4.1,,,,,,,
2021-03-05,-3.9,-7.3,1.4,,,,,,,
2021-03-06,-2.7,-8.6,0.9,,,,,,,
2021-03-07,-3.8,-7.7,0.9,,,,,,,
2021-03-08,-7,-12.8,-1.4,,,,,,,
2021-03-09,-5.3,-12.8,0.2,,,,,,,
2021-03-10,-9.5,-12.2,0.2,,,,,,,
2021-03-11,-3.5,-9,0.5,,,,,,,
2021-03-12,-0.1,-2.9,2.8,,,,,,,
2021-03-13,2.6,0.3,5.4,,71,,,,,
2021-03-14,2.1,0.2,5.4,,30,,,,,
2021-03-15,1.4,-2.1,6.2,,,,,,,
2021-03-16,-1.4,-4.4,6.2,,,,,,,
2021-03-17,-1.7,-4.3,2.6,,,,,,,
2021-03-18,,,,,,,,,,
2021-03-19,,,,,,,,,,
2021-03-20,,,,,,,,,,
2021-03-21,,,,,,,,,,
2021-03-22,,,,,,,,,,
2021-03-23,,,,,,,,,,
2021-03-24,,,,,,,,,,
2021-03-25,,,,,,,,,,
2021-03-26,,,,,,,,,,
2021-03-27,,,,,,,,,,
2021-03-28,,,,,,,,,,
2021-03-29,,,,,,,,,,
2021-03-30,,,,,,,,,,
2021-03-31,,,,,,,,,,
2021-04-01,,,,,,,,,,
2021-04-02,,,,,,,,,,
2021-04-03,,,,,,,,,,
2021-04-04,,,,,,,,,,
2021-04-05,,,,,,,,,,
2021-04-06,,,,,,,,,,
2021-04-07,,,,,,,,,,
2021-04-08,,,,,,,,,,
2021-04-09,,,,,,,,,,
2021-04-10,,,,,,,,,,
2021-04-11,,,,,,,,,,
2021-04-12,,,,,,,,,,
2021-04-13,,,,,,,,,,
2021-04-14,,,,,,,,,,
2021-04-15,,,,,,,,,,
2021-04-16,,,,,,,,,,
2021-04-17,,,,,,,,,,
2021-04-18,,,,,,,,,,
2021-04-19,,,,,,,,,,
2021-04-20,,,,,,,,,,
2021-04-21,,,,,,,,,,
2021-04-22,,,,,,,,,,
2021-04-23,,,,,,,,,,
2021-04-24,,,,,,,,,,
2021-04-25,,,,,,,,,,
2021-04-26,,,,,,,,,,
2021-04-27,,,,,,,,,,
2021-04-28,,,,,,,,,,
2021-04-29,,,,,,,,,,
