date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-01-01,-2.8,-8.5,0,2.2,,331,11.8,37.8,1009.8,
2022-01-02,-6.4,-10.4,-4.9,1.1,,173,11.3,33.8,1011.3,
2022-01-03,-3.2,-5,-0.3,7.4,,156,7.8,20.5,993.8,
2022-01-04,1.8,-0.1,2.9,4,,207,12.5,33.5,990.6,
2022-01-05,1.1,0.4,2,4.4,,210,15.1,40.3,986.7,
2022-01-06,-2.5,-6.7,0.5,2.5,,283,15.5,39.2,994.6,
2022-01-07,-4.1,-8.7,-2.8,0,,279,17.5,55.1,1005.4,
2022-01-08,-5.4,-9.9,-2.4,2.1,,136,9.9,26.3,1009.3,
2022-01-09,-2.1,-3,-1.6,4.9,,192,13.6,36,1007,
2022-01-10,-5.4,-11.7,-2,0.1,,25,10.3,24.1,1024,
2022-01-11,-13.6,-15.6,-11.5,0,,89,6,14.8,1037,
2022-01-12,-10.3,-15.6,-4.6,0,,209,14.8,36.7,1028.7,
2022-01-13,1.3,-4,3.2,0,,254,24.4,54,1005.7,
2022-01-14,1.7,0.7,2.7,5.1,,297,30.5,64.8,994.4,
2022-01-15,-0.3,-2.7,1.4,0,,300,21,53.3,1009.5,
2022-01-16,-0.1,-2.6,2.1,4.9,,236,22.4,61.9,1005.1,
2022-01-17,-0.7,-2.9,1,5.8,,297,25.9,76.3,989.3,
2022-01-18,-3,-5.4,0.2,0,,291,17.7,53.3,1017.3,
2022-01-19,1.3,0,2.6,0,,240,23.6,47.2,1007.3,
2022-01-20,0.6,-0.9,2.4,5.1,,180,19.6,52.6,985.5,
2022-01-21,-1.8,-2.3,-0.6,7.4,,348,22.4,48.6,995.6,
2022-01-22,-2.8,-4.1,-2,0,,359,16.1,39.2,1015.1,
2022-01-23,-3.8,-6.3,-1.1,0,,228,9.9,31,1026.7,
2022-01-24,-0.4,-2,1,0.8,,219,21.6,43.2,1024.1,
2022-01-25,-0.4,-5.5,1.9,0.5,,290,13.4,36.7,1018,
2022-01-26,-3.4,-7.9,-0.8,1.3,,212,12.9,36.4,1015.1,
2022-01-27,0.2,-1.6,1.1,5.2,,197,15.1,32,997.4,
2022-01-28,-0.5,-1.8,0.5,2.9,,356,16.7,41.4,997.3,
2022-01-29,-1.8,-4.9,-0.1,8.2,,217,20.6,61.9,1002.3,
2022-01-30,0.3,-1.7,1.3,11,,133,16.4,60.5,976.9,
2022-01-31,-3.5,-4.3,-1.9,3.7,,340,17.2,36,993.1,
2022-02-01,-4.9,-7.1,-3.9,0,,284,9.2,24.5,996.4,
2022-02-02,-8.1,-10.6,-4.6,0,,44,3.8,9.4,1000.3,
2022-02-03,-8.4,-12,-3.5,0,,252,4,13.7,1012,
2022-02-04,-6.8,-9.8,-5.2,0,,149,14.9,38.5,1011.4,
2022-02-05,-2.2,-5.3,0.7,4,,187,17.5,34.6,997.1,
2022-02-06,0.5,0,0.7,6.7,,205,20.4,50,992,
2022-02-07,0.3,-1.1,0.9,12.2,,5,14.6,35.3,989.6,
2022-02-08,-0.4,-1.5,1.1,2.5,,248,16.3,39.6,1002.3,
2022-02-09,0.7,-0.5,2.6,2.6,,247,19.5,49.7,1004.6,
2022-02-10,1.6,0.5,2.8,0.7,,254,25,51.1,1003.2,
2022-02-11,0.4,-1.1,1.5,0,,265,17.6,36,1007.4,
2022-02-12,-0.5,-3.6,1.9,0.2,,255,24.4,56.2,1016.3,
2022-02-13,1,0.5,1.7,1,,228,28.2,51.8,1012.6,
2022-02-14,1,-0.3,2.5,0,,213,20.5,45,1006.2,
2022-02-15,1.7,0.4,3.2,0.8,,204,19.3,41,1006.1,
2022-02-16,2,0.4,3.1,4.2,,190,19.8,48.6,999.2,
2022-02-17,2.6,0.5,4.1,14,,183,24.2,63.4,969.6,
2022-02-18,0.9,-0.3,2.1,0.3,,254,26.2,65.2,984,
2022-02-19,0.8,-0.4,1.6,10.4,,206,17.9,43.9,980.9,
2022-02-20,0,-1.8,1.3,1.1,,240,15.8,39.6,995,
2022-02-21,-0.1,-2.2,2.2,6.7,,156,18.2,45.7,985.2,
2022-02-22,0.1,-2.5,2,2.5,,266,14.9,37.1,988.5,
2022-02-23,-2.4,-4.8,-0.5,0,,248,8.6,28.4,1008.8,
2022-02-24,0.3,-4.4,3.5,0,,202,24.5,56.5,1010.9,
2022-02-25,1.5,0.9,2.2,4.2,,211,31.8,77,1000.5,
2022-02-26,0,-3.5,2.2,0,,304,16,43.2,1022.9,
2022-02-27,-2.8,-7.1,2.4,0,,244,8,23.4,1038.4,
2022-02-28,-0.1,-3,4.2,0,,241,14.8,33.1,1035.4,
2022-03-01,0.6,-1.6,4.9,0,,244,14,29.2,1032.6,
2022-03-02,0.1,-3.1,3.2,0,,242,12.6,26.6,1023.4,
2022-03-03,0.3,-1.4,2.4,0,,319,10.9,28.8,1016.9,
2022-03-04,-2.3,-5.6,0,0,,5,12.9,33.5,1023.2,
2022-03-05,-3.8,-7.9,0.9,0,,320,7.8,20.5,1025.4,
2022-03-06,-0.3,-3.7,3.3,0,,264,17.2,37.4,1016.3,
2022-03-07,-0.9,-5.4,0.9,0.2,,353,12.9,32.8,1016.7,
2022-03-08,-4.1,-5.4,-2.7,1.3,,140,8.6,21.2,1022.8,
2022-03-09,-3.8,-8.3,-1.2,0,,101,10.9,29.5,1029.9,
2022-03-10,-6.1,-12.2,0.4,0,,186,8.4,22.7,1040.1,
