date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-08-01,16.7,13.3,19.8,0.7,,279,13.5,37.1,1004.9,
2024-08-02,17.4,14.7,20.9,0,,276,11.6,27.4,1005.9,
2024-08-03,17.4,14.1,21,0,,255,11.4,31,1005.1,
2024-08-04,18.5,15.5,23,2,,272,7.9,33.1,1006.4,
2024-08-05,18.1,14.2,22.7,0,,323,4.3,28.1,1009,
2024-08-06,17.9,15.4,20.3,0,,21,7.1,21.6,1012.2,
2024-08-07,19,14.3,23.3,0,,10,7.6,22,1013.5,
2024-08-08,19.7,15.1,24.3,0,,101,5,16.9,1014,
2024-08-09,20.3,13.6,26.1,0,,149,7.2,27,1012.2,
2024-08-10,17.9,16,20.3,8.6,,218,17.2,49,1006.5,
2024-08-11,16,13.2,19.7,11.7,,253,12.8,40.7,1004.6,
2024-08-12,15.4,12.7,18.4,6.1,,270,13.5,36,1006.9,
2024-08-13,17.6,13.1,23,2.4,,330,8.3,23.8,1013.3,
2024-08-14,18,12.7,22.8,0,,283,9.1,25.2,1018.7,
2024-08-15,19.7,12.2,25.6,0,,223,6.5,24.8,1018.9,
2024-08-16,20.6,16.4,25.2,0,,206,12.2,32.4,1012.9,
2024-08-17,19.7,17.5,22.9,2.8,,237,11.8,29.9,1009.4,
2024-08-18,17.8,11.4,22.1,0,,250,8.8,31.3,1011.3,
2024-08-19,17.7,15,22.8,2.3,,22,6,24.5,1011.6,
2024-08-20,17.1,9.6,23.2,0,,308,5,21.2,1017.6,
2024-08-21,18.2,11.9,23.7,0,,105,11.6,34.9,1012.1,
2024-08-22,18.5,14.6,19.8,1.9,,223,10.9,30.2,1006.3,
2024-08-23,15.5,12.8,18.2,2.9,,211,13.3,37.4,1009.2,
2024-08-24,17.9,15.1,20.4,0.1,,224,18,47.9,1011.4,
2024-08-25,19.8,11.4,28.5,0,,175,14.7,54.4,1013.5,
2024-08-26,18.1,13.5,22.3,0,,253,9.8,33.5,1020.2,
2024-08-27,,,,,,,,,,
2024-08-28,,,,,,,,,,
2024-08-29,,,,,,,,,,
2024-08-30,,,,,,,,,,
2024-08-31,,,,,,,,,,
