date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-09-01,,,,,,,,,,
2024-09-02,,,,,,,,,,
2024-09-03,,,,,,,,,,
2024-09-04,21.4,15.5,27.6,,,85,7.8,28.4,1027.6,
2024-09-05,20,14.4,25.9,0,,64,8.9,32,1029.7,
2024-09-06,17.4,11,22.8,0,,92,8.3,27.7,1029.3,
2024-09-07,17.9,11,25,0,,131,7.6,28.8,1026.6,
2024-09-08,17.7,10.4,25.4,0,,119,8.1,29.2,1023.5,
2024-09-09,18,11.3,24.1,0,,131,12.6,41.4,1016.7,
2024-09-10,18.6,14.3,23.5,0,,142,16.5,46.4,1007.7,
2024-09-11,16.2,14.2,18.7,1.9,,173,7.9,22.7,1006.7,
2024-09-12,16.9,12.1,22.3,0.2,,142,6.6,23.8,1010.8,
2024-09-13,18.6,15.9,21.7,16.1,,81,6.4,20.2,1012.6,
2024-09-14,18.5,15.3,22.2,0.1,,82,6.8,20.2,1015.1,
2024-09-15,18.5,16.1,22.2,0,,21,6.9,25.6,1019.5,
2024-09-16,18.7,15.1,24.4,0,,96,10,31.7,1024.9,
2024-09-17,18.1,10.9,25.1,0,,201,4.5,21.2,1029.6,
2024-09-18,15.8,13.9,19.7,0,,7,5.5,16.9,1032,
2024-09-19,14.5,11.2,19.1,0,,328,4.9,16.6,1032.9,
2024-09-20,13.6,8.8,17.8,0,,277,8.3,27.7,1030.1,
2024-09-21,15.3,12.6,19.1,0,,293,11.1,29.9,1024.4,
2024-09-22,10.2,5.6,15.1,0,,56,6.7,18.7,1024.7,
2024-09-23,11.6,4.8,18.1,0,,118,8,25.2,1017.7,
2024-09-24,15.6,9.7,21.5,0,,133,9.2,27.4,1010.6,
2024-09-25,15.6,12.8,18.8,1.1,,178,16.4,45.7,1005.4,
2024-09-26,15.2,12.9,19.8,4.3,,180,13.4,38.9,1003.6,
2024-09-27,15.1,13.9,16,10.1,,195,23.4,67.3,992.9,
2024-09-28,13.1,9.8,15.6,20.4,,218,19.1,59,998.8,
2024-09-29,9.3,6,12.4,1.4,,248,14.9,53.6,1014,
2024-09-30,6.6,1.8,12.3,0,,290,4.4,16.2,1029.1,
